Data;Último;Abertura;Máxima;Mínima
09.07.2021;33797.4;32866.3;34079.2;32367.0
08.07.2021;32866.3;33859.4;33923.2;32146.9
07.07.2021;33867.8;34228.7;35036.6;33801.3
06.07.2021;34225.6;33688.5;35062.0;33581.7
05.07.2021;33687.8;35297.0;35300.5;33164.1
04.07.2021;35298.2;34742.8;35957.6;34740.1
03.07.2021;34742.8;33814.2;34909.8;33363.3
02.07.2021;33813.4;33542.2;33925.9;32734.6
01.07.2021;33543.6;35030.7;35032.7;32839.2
30.06.2021;35026.9;35832.6;36089.5;34126.6
29.06.2021;35834.7;34477.3;36590.3;34247.6
28.06.2021;34475.9;34682.2;35231.2;33944.9
27.06.2021;34678.5;32247.1;34685.5;32041.7
26.06.2021;32243.4;31592.1;32643.0;30206.9
25.06.2021;31594.0;34660.5;35490.9;31337.9
24.06.2021;34665.8;33678.1;35249.9;32356.7
23.06.2021;33674.3;32498.3;34784.3;31736.5
22.06.2021;32496.4;31682.7;33272.5;28901.8
21.06.2021;31692.0;35597.9;35708.4;31284.1
20.06.2021;35595.8;35510.9;36097.9;33378.0
19.06.2021;35513.4;35770.0;36357.3;34845.5
18.06.2021;35749.4;38045.5;38166.0;35198.5
17.06.2021;38052.0;38337.8;39529.9;37425.3
16.06.2021;38336.0;40148.1;40494.4;38156.4
15.06.2021;40156.1;40522.5;41318.0;39589.9
14.06.2021;40529.4;39024.1;40970.4;38769.9
13.06.2021;39022.9;35467.5;39321.6;34827.0
12.06.2021;35467.5;37334.4;37437.3;34703.3
11.06.2021;37314.6;36654.3;37641.1;36003.3
10.06.2021;36649.4;37375.2;38340.8;35824.0
